2021-09-24 15:31:39 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 15:31:39 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 15:33:38 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 15:33:38 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 15:33:38 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 15:33:38 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 15:33:38 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 15:33:38 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 15:33:38 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 15:33:38 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 15:33:38 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:13:44 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:13:44 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:13:44 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:13:44 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:13:44 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:13:44 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:13:44 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:13:44 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:13:44 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:15:04 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:15:04 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:15:04 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:15:04 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:15:04 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:15:04 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:15:04 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:15:04 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:15:04 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:22:06 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:22:06 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:22:06 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:22:06 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:22:06 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:22:06 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:22:06 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:22:06 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:22:06 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:22:23 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:22:23 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:22:23 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:22:23 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:22:23 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:22:23 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:22:23 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:22:23 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:22:23 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:23:47 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:23:47 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:23:47 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:23:47 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:23:47 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:23:47 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:23:47 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:23:47 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:23:47 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:25:58 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:25:58 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:25:58 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:25:58 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:25:58 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:25:58 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:25:58 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:25:58 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:25:58 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:35:05 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2021-09-24 16:36:09 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2021-09-24 16:47:23 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:47:23 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:47:23 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:47:23 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:47:23 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:47:23 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:47:23 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:47:23 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:47:23 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:48:49 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:48:49 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:48:49 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:48:49 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:48:49 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:48:49 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:48:49 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:48:49 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:48:49 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:50:12 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:50:12 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:50:12 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:50:12 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:50:12 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:50:12 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:50:12 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:50:12 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:50:12 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 16:57:40 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 16:57:40 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 16:57:40 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 16:57:40 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 16:57:40 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 16:57:40 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 16:57:40 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 16:57:40 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 16:57:40 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:00:03 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:00:03 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:00:03 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:00:03 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:00:03 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:00:03 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:00:03 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:00:03 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:00:03 DEBUG Config - Config.get(helper, cutoff) = 
